timestamp,service_name,cpu_utilization,memory_utilization,network_throughput,latency_ms,pod_count,node_count
2026-07-31T07:10:22.123870,payment-service,44.01,54.26,1199.31,44.62,3,5
2026-07-31T07:10:22.123870,auth-service,30.77,39.95,589.33,16.19,3,5
2026-07-31T07:10:22.123870,frontend-service,24.75,35.03,2410.85,69.54,3,5
2026-07-31T07:10:22.123870,database-service,49.5,70.42,797.61,8.81,3,5
2026-07-31T07:10:25.230262,payment-service,45.65,55.92,1213.19,45.24,3,5
2026-07-31T07:10:25.230262,auth-service,29.95,40.73,581.78,15.34,3,5
2026-07-31T07:10:25.230262,frontend-service,24.56,34.31,2400.77,71.46,3,5
2026-07-31T07:10:25.230262,database-service,48.9,69.92,809.57,9.98,3,5
2026-07-31T07:10:28.324171,payment-service,44.03,54.05,1191.56,45.75,3,5
2026-07-31T07:10:28.324171,auth-service,28.86,39.32,609.29,15.24,3,5
2026-07-31T07:10:28.324171,frontend-service,24.36,35.98,2416.77,69.6,3,5
2026-07-31T07:10:28.324171,database-service,50.21,70.17,794.34,8.68,3,5
2026-07-31T07:18:50.432302,payment-service,45.09,55.9,1219.84,43.74,3,5
2026-07-31T07:18:50.432302,auth-service,29.39,40.32,581.8,15.52,3,5
2026-07-31T07:18:50.432302,frontend-service,25.66,35.66,2393.85,70.14,3,5
2026-07-31T07:18:50.432302,database-service,48.98,70.75,802.36,10.16,3,5
2026-07-31T07:18:53.578668,payment-service,45.76,54.53,1208.53,45.39,3,5
2026-07-31T07:18:53.578668,auth-service,31.41,39.11,603.69,15.68,3,5
2026-07-31T07:18:53.578668,frontend-service,25.93,34.21,2407.06,69.09,3,5
2026-07-31T07:18:53.578668,database-service,50.33,69.55,786.28,8.72,3,5
2026-07-31T07:18:56.703923,payment-service,43.51,55.18,1183.35,45.04,3,5
2026-07-31T07:18:56.703923,auth-service,29.28,39.93,610.84,15.11,3,5
2026-07-31T07:18:56.703923,frontend-service,24.09,34.29,2411.89,69.65,3,5
2026-07-31T07:18:56.703923,database-service,50.6,69.01,792.21,11.42,3,5
2026-07-31T07:18:59.849838,payment-service,45.95,55.34,1204.57,45.02,3,5
2026-07-31T07:18:59.849838,auth-service,29.83,39.99,599.18,13.99,3,5
2026-07-31T07:18:59.849838,frontend-service,24.01,35.06,2390.06,70.07,3,5
2026-07-31T07:18:59.849838,database-service,48.62,69.22,803.26,10.78,3,5
2026-07-31T07:19:02.972929,payment-service,46.08,55.55,1215.72,46.46,3,5
2026-07-31T07:19:02.972929,auth-service,29.21,39.68,591.83,15.28,3,5
2026-07-31T07:19:02.972929,frontend-service,25.28,34.25,2404.89,71.37,3,5
2026-07-31T07:19:02.972929,database-service,49.42,69.26,812.72,9.61,3,5
2026-07-31T07:19:06.116758,payment-service,44.33,55.95,1193.15,45.99,3,5
2026-07-31T07:19:06.116758,auth-service,31.4,39.45,615.04,16.45,3,5
2026-07-31T07:19:06.116758,frontend-service,25.4,34.95,2380.87,71.43,3,5
2026-07-31T07:19:06.116758,database-service,49.83,69.66,793.12,8.66,3,5
2026-07-31T07:19:09.234745,payment-service,48.36,55.91,1197.05,57.65,3,5
2026-07-31T07:19:09.234745,auth-service,28.87,39.83,580.12,13.77,3,5
